date,monthly_return,volume,ticker
2020-01-31,0.55516,4072082.0,TSLA
2020-02-28,0.026777,4720676.0,TSLA
2020-03-31,-0.215557,4200834.0,TSLA
2020-04-30,0.492137,3806580.0,TSLA
2020-05-29,0.067939,2723026.0,TSLA
2020-06-30,0.293186,2551787.0,TSLA
2020-07-31,0.325011,3776740.0,TSLA
2020-08-31,0.741452,4051970.0,TSLA
2020-09-30,-0.139087,17331954.0,TSLA
2020-10-30,-0.095499,8330610.0,TSLA
2020-11-30,0.462736,7811501.0,TSLA
2020-12-31,0.243252,11962716.0,TSLA
2021-01-29,0.124506,7038597.0,TSLA
2021-02-26,-0.14874,5222236.0,TSLA
2021-03-31,-0.011207,9405526.0,TSLA
2021-04-30,0.062147,6774422.0,TSLA
2021-05-28,-0.118713,6241463.0,TSLA
2021-06-30,0.087137,5186813.0,TSLA
2021-07-30,0.011034,4472791.0,TSLA
2021-08-31,0.070605,3812156.0,TSLA
2021-09-30,0.054042,3889228.0,TSLA
2021-10-29,0.43653,5263955.0,TSLA
2021-11-30,0.027612,6457197.0,TSLA
2021-12-31,-0.076855,5075118.0,TSLA
2022-01-31,-0.113609,6361641.0,TSLA
2022-02-28,-0.070768,4609541.0,TSLA
2022-03-31,0.238009,5742614.0,TSLA
2022-04-29,-0.191945,5046142.0,TSLA
2022-05-31,-0.129197,6470842.0,TSLA
2022-06-30,-0.111888,6684634.0,TSLA
2022-07-29,0.323765,5800688.0,TSLA
2022-08-31,-0.072489,7322218.0,TSLA
2022-09-30,-0.037589,12965500.0,TSLA
2022-10-31,-0.142168,17325849.0,TSLA
2022-11-30,-0.144326,18824244.0,TSLA
2022-12-30,-0.367334,29417041.0,TSLA
